Year,Author(s),Title,Publisher(s)
,Robert A. Heinlein,Friday,"Holt, Rinehart & Winston"
,Brian Aldiss,Helliconia Spring,Atheneum Books
,Gene Wolfe,The Sword of the Lictor,Timescape Books
,Philip K. Dick,The Transmigration of Timothy Archer,Timescape Books
1984,David Brin*,Startide Rising,Bantam Books
,Gregory Benford,Against Infinity,Timescape Books
,Gene Wolfe,The Citadel of the Autarch,Timescape Books
,Jack Vance,Lyonesse,Berkley Books
,R. A. MacAvoy,Tea with the Black Dragon,Bantam Books
,Norman Spinrad,The Void Captain's Tale,Timescape Books
1985,William Gibson*,Neuromancer,Ace Books
,Lewis Shiner,Frontera,Baen Books
,Larry Niven,The Integral Trees,Del Rey Books
,Robert A. Heinlein,Job: A Comedy of Justice,Del Rey Books
,Jack Dann,The Man Who Melted,Bluejay Books
,Kim Stanley Robinson,The Wild Shore,Ace Books
1986,Orson Scott Card*,Ender's Game,Tor Books
,Greg Bear,Blood Music,Arbor House
,Tim Powers,Dinner at Deviant's Palace,Ace Books
,Brian Aldiss,Helliconia Winter,Atheneum Books
,David Brin,The Postman,Bantam Spectra
,Barry N. Malzberg,The Remaking of Sigmund Freud,Del Rey Books
,Bruce Sterling,Schismatrix,Arbor House
1987,Orson Scott Card*,Speaker for the Dead,Tor Books
,William Gibson,Count Zero,Asimov's Science Fiction
,Gene Wolfe,Free Live Free,Tor Books
,Margaret Atwood,The Handmaid's Tale,Houghton Mifflin
,Leigh Kennedy,The Journal of Nicholas the American,Atlantic Monthly Press
,James K. Morrow,This is the Way the World Ends,Henry Holt and Company
1988,Pat Murphy*,The Falling Woman,Tor Books
,Greg Bear,The Forge of God,Tor Books
,Gene Wolfe,Soldier of the Mist,Tor Books
,David Brin,The Uplift War,Bantam Spectra
,Avram Davidson,Vergil in Averno,Doubleday
,George Alec Effinger,When Gravity Fails,Arbor House
1989,Lois McMaster Bujold*,Falling Free,Analog Science Fact & Fiction
,Lewis Shiner,Deserted Cities of the Heart,Doubleday Foundation
,George Turner,Drowning Towers,Arbor House
,Gregory Benford,Great Sky River,Bantam Spectra
,William Gibson,Mona Lisa Overdrive,Bantam Spectra
,Orson Scott Card,Red Prophet,Tor Books
,Gene Wolfe,The Urth of the New Sun,Tor Books
1990,Elizabeth Ann Scarborough*,The Healer's War,Doubleday Foundation
